<http://codes.wmo.int/def/common/code_figure>,<http://codes.wmo.int/def/common/wmoAbbreviation>,<http://codes.wmo.int/def/common/wmoAbbreviationIA2>,<http://codes.wmo.int/def/common/wmoAbbreviationIA5>,@id,dct:definition,rdf:type,rdfs:label,skos:altLabel,skos:notation,skos:prefLabel
'111',',',MNT,<http://codes.wmo.int/common/unit/'>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,minute (angle),',',minute (angle)
'112','','',SEC,<http://codes.wmo.int/common/unit/''>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,second (angle),'','',second (angle)
no,(Y),(Y),(Y),<http://codes.wmo.int/common/unit/(Y)_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,(yotta),(Y),(Y),(yotta)
no,(Z),(Z),(Z),<http://codes.wmo.int/common/unit/(Z)_pref>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,(zetta),(Z),(Z),(zetta)
no,(y),(y),"",<http://codes.wmo.int/common/unit/(y)_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,(yocto),(y),(y),(yocto)
no,(z),(z),"",<http://codes.wmo.int/common/unit/(z)_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,(zepto),(z),(z),(zepto)
'301',‰,0/00,PERTHOU,<http://codes.wmo.int/common/unit/0.001>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,parts per thousand,‰,0/00,parts per thousand
'000','1','1','1',<http://codes.wmo.int/common/unit/1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,Dimensionless,'1','1',Dimensionless
'004',A,A,A,<http://codes.wmo.int/common/unit/A>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,ampere,A,A,ampere
'170',AU,AU,ASU,<http://codes.wmo.int/common/unit/AU>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,astronomic unit,AU,AU,astronomic unit
